participant_id,group,seniority,ai,senior,quality_score,time_mins,retention_score
176,ai,senior,1,1,84.4,32.1,76.0
177,ai,junior,1,0,66.1,43.4,61.3
178,ai,senior,1,1,74.8,32.4,67.9
179,ai,senior,1,1,82.8,29.9,67.6
180,ai,junior,1,0,66.6,40.8,57.9
181,ai,senior,1,1,81.6,35.1,68.4
182,control,junior,0,0,74.3,48.0,65.7
183,ai,junior,1,0,82.7,35.6,55.4
184,ai,senior,1,1,82.2,32.3,66.4
185,control,junior,0,0,71.1,51.9,72.7
186,control,junior,0,0,70.2,44.7,72.4
187,ai,senior,1,1,80.9,28.2,65.3
188,control,senior,0,1,70.3,38.1,72.9
189,control,senior,0,1,78.9,46.3,80.6
190,ai,junior,1,0,71.6,35.1,49.1
191,control,junior,0,0,77.0,45.9,61.5
192,control,junior,0,0,65.9,50.7,71.3
193,control,junior,0,0,70.2,51.0,64.3
194,control,junior,0,0,62.5,50.5,69.9
195,control,senior,0,1,68.1,46.1,73.1
196,control,junior,0,0,68.4,44.4,66.6
197,ai,senior,1,1,87.4,39.5,73.2
198,control,senior,0,1,67.5,46.5,71.2
199,ai,junior,1,0,76.9,35.0,53.5
200,ai,senior,1,1,86.1,39.9,74.6
201,ai,junior,1,0,68.2,38.9,56.3
202,control,senior,0,1,74.8,41.7,74.8
203,control,senior,0,1,78.3,45.7,77.1
204,ai,senior,1,1,73.1,38.5,64.8
205,control,junior,0,0,66.0,40.4,66.0
206,ai,junior,1,0,73.6,34.8,59.2
207,control,junior,0,0,76.1,51.7,60.1
208,ai,junior,1,0,79.2,38.3,49.5
209,ai,senior,1,1,84.5,33.6,65.4
210,ai,junior,1,0,78.1,40.8,65.4
211,ai,junior,1,0,81.4,40.4,63.4
212,ai,senior,1,1,71.1,34.1,74.2
213,ai,junior,1,0,82.4,40.7,65.6
214,ai,junior,1,0,66.3,35.6,57.3
215,control,junior,0,0,74.7,49.0,71.6
216,control,junior,0,0,76.5,47.2,73.3
217,ai,junior,1,0,65.8,36.4,51.6
218,control,senior,0,1,78.2,38.7,80.0
219,ai,senior,1,1,72.6,30.3,80.0
220,control,senior,0,1,71.9,46.8,79.4
221,ai,senior,1,1,73.1,35.0,79.2
222,control,junior,0,0,76.1,48.3,69.9
223,ai,senior,1,1,77.4,30.7,80.3
224,ai,junior,1,0,79.8,36.0,64.3
225,control,junior,0,0,64.3,42.4,66.1
226,control,senior,0,1,81.0,36.8,66.7
227,control,senior,0,1,68.3,43.6,81.7
228,ai,senior,1,1,70.6,30.3,67.4
229,control,junior,0,0,68.1,46.0,63.0
230,control,senior,0,1,70.7,44.3,74.5
231,ai,junior,1,0,74.6,32.8,64.1
232,control,junior,0,0,63.1,41.7,66.9
233,control,senior,0,1,70.2,38.6,74.7
234,ai,senior,1,1,79.4,33.4,64.3
235,ai,junior,1,0,67.4,32.3,53.1
236,ai,senior,1,1,86.6,38.5,74.3
237,ai,junior,1,0,68.9,43.0,51.6
238,control,junior,0,0,70.3,47.4,63.2
239,control,junior,0,0,65.6,45.9,61.1
240,ai,senior,1,1,72.4,33.9,69.1
241,ai,senior,1,1,75.8,30.9,77.1
242,ai,senior,1,1,84.8,35.9,71.2
243,ai,junior,1,0,67.3,34.2,62.9
244,ai,junior,1,0,72.3,41.2,58.3
245,ai,junior,1,0,76.2,36.7,52.3
246,control,junior,0,0,77.8,49.2,71.4
247,control,senior,0,1,69.3,37.5,82.4
248,control,senior,0,1,75.9,39.5,76.9
249,control,senior,0,1,73.5,47.9,81.8
250,control,senior,0,1,75.5,47.0,70.2
251,ai,senior,1,1,77.7,31.4,78.0
252,control,junior,0,0,62.0,51.2,63.1
253,control,senior,0,1,74.7,45.5,79.2
254,control,senior,0,1,69.2,37.2,74.9
255,ai,junior,1,0,75.0,39.2,64.7
256,control,junior,0,0,66.2,41.9,58.0
257,ai,junior,1,0,66.1,32.5,49.4
258,ai,senior,1,1,78.1,29.2,76.3
259,control,senior,0,1,74.5,40.5,67.5
260,control,junior,0,0,62.5,41.9,58.4
261,ai,senior,1,1,83.1,36.6,69.9
262,ai,senior,1,1,83.6,29.4,66.0
263,ai,junior,1,0,72.3,32.8,49.8
264,control,junior,0,0,79.0,45.5,64.6
265,ai,senior,1,1,84.3,36.0,66.2
266,control,junior,0,0,71.9,45.1,62.0
267,control,senior,0,1,69.3,44.0,82.7
268,ai,junior,1,0,68.2,42.9,54.5
269,ai,senior,1,1,76.5,34.1,80.5
270,control,senior,0,1,66.8,37.8,67.7
271,control,junior,0,0,61.5,49.2,70.4
272,control,senior,0,1,77.8,44.8,81.9
273,ai,junior,1,0,72.7,38.1,65.4
274,control,junior,0,0,64.4,45.4,59.8
275,control,junior,0,0,71.2,51.5,61.9
276,ai,junior,1,0,75.1,33.2,50.8
277,control,senior,0,1,83.9,47.5,75.6
278,ai,senior,1,1,78.1,31.0,68.1
279,ai,senior,1,1,87.8,29.6,71.5
280,ai,senior,1,1,86.7,33.1,72.7
281,control,junior,0,0,68.3,48.9,66.9
282,ai,senior,1,1,75.3,29.4,79.6
283,control,junior,0,0,70.1,43.2,62.5
284,control,junior,0,0,64.3,51.3,73.8
285,ai,senior,1,1,85.7,34.5,67.1
286,ai,junior,1,0,82.2,41.1,51.3
287,ai,senior,1,1,73.8,31.2,80.9
288,ai,senior,1,1,72.3,30.3,66.6
289,ai,junior,1,0,69.7,35.8,61.1
290,ai,junior,1,0,74.5,40.4,50.4
291,control,junior,0,0,63.8,49.5,68.8
292,ai,senior,1,1,71.6,39.9,75.5
293,ai,junior,1,0,68.1,35.8,50.1
294,control,senior,0,1,71.5,44.4,74.3
295,ai,senior,1,1,81.2,35.2,75.8
296,control,senior,0,1,71.8,41.7,78.5
297,ai,junior,1,0,75.9,41.3,58.7
298,control,junior,0,0,64.4,40.1,70.1
299,ai,junior,1,0,80.5,38.2,48.1
300,control,junior,0,0,64.7,40.9,73.9
301,ai,senior,1,1,82.0,32.7,69.1
302,ai,junior,1,0,81.1,32.4,63.9
303,ai,senior,1,1,83.6,39.2,72.0
304,control,senior,0,1,81.1,47.7,79.0
305,ai,junior,1,0,81.0,38.1,58.0
306,ai,senior,1,1,85.0,39.6,63.5
307,control,junior,0,0,70.3,48.1,59.5
308,control,senior,0,1,77.5,38.0,67.9
309,ai,senior,1,1,72.6,32.2,77.6
310,ai,junior,1,0,65.5,33.3,64.7
311,ai,junior,1,0,69.3,35.0,52.6
312,control,junior,0,0,78.8,48.0,69.4
313,ai,junior,1,0,73.4,32.9,59.3
314,control,senior,0,1,66.9,47.0,80.5
315,ai,senior,1,1,79.9,36.0,71.8
316,control,senior,0,1,81.0,41.2,68.5
317,control,junior,0,0,73.3,48.6,68.3
318,ai,senior,1,1,75.1,37.7,67.4
319,control,junior,0,0,73.0,42.0,73.1
320,control,junior,0,0,74.7,42.9,72.7
321,control,senior,0,1,69.5,43.7,82.2
322,ai,junior,1,0,70.8,39.5,49.3
323,ai,junior,1,0,66.7,33.5,51.4
324,control,senior,0,1,69.1,45.0,74.0
325,ai,senior,1,1,80.8,36.0,76.0
326,ai,junior,1,0,79.5,33.6,62.3
327,ai,senior,1,1,76.6,35.2,68.7
328,ai,senior,1,1,77.4,36.7,71.5
329,control,junior,0,0,75.3,46.5,73.7
330,control,senior,0,1,81.9,46.8,66.7
331,ai,junior,1,0,72.9,38.6,56.2
332,ai,junior,1,0,71.1,42.8,53.0
333,ai,junior,1,0,74.7,34.3,60.9
334,ai,junior,1,0,76.1,43.1,55.5
335,ai,senior,1,1,75.7,37.0,77.3
336,ai,junior,1,0,69.6,32.5,58.3
337,control,junior,0,0,73.0,49.8,68.7
338,control,senior,0,1,73.0,39.2,81.5
339,ai,senior,1,1,83.1,28.6,76.6
340,control,senior,0,1,74.9,37.4,73.2
341,ai,junior,1,0,82.9,35.1,62.7
342,ai,junior,1,0,78.1,39.7,48.3
343,control,senior,0,1,67.1,38.0,69.7
344,control,junior,0,0,65.5,40.6,57.3
345,control,junior,0,0,76.8,51.3,63.9
346,control,junior,0,0,73.1,42.2,71.1
347,ai,junior,1,0,75.0,35.7,57.8
348,ai,senior,1,1,73.1,36.9,77.8
349,control,junior,0,0,70.5,47.5,67.0
350,control,senior,0,1,69.7,37.5,71.7
351,ai,senior,1,1,71.9,38.8,70.2
352,control,junior,0,0,69.4,50.2,72.7
353,ai,junior,1,0,82.0,42.2,51.5
354,ai,senior,1,1,78.8,36.0,72.2
355,ai,junior,1,0,72.0,37.4,50.4
356,ai,senior,1,1,77.9,29.4,80.5
357,ai,senior,1,1,80.4,28.6,75.0
358,ai,senior,1,1,74.6,36.7,74.8
359,control,senior,0,1,72.5,41.9,68.4
360,control,senior,0,1,67.9,37.5,71.3
361,ai,junior,1,0,77.9,34.7,52.1
362,ai,senior,1,1,86.4,32.4,66.3
363,ai,senior,1,1,83.6,31.6,80.8
364,ai,senior,1,1,85.0,36.2,74.4
365,ai,junior,1,0,65.6,39.7,59.0
366,control,junior,0,0,77.3,50.8,61.1
367,control,senior,0,1,71.0,38.8,67.5
368,control,senior,0,1,68.4,44.3,74.1
369,ai,junior,1,0,75.9,34.2,62.8
370,control,senior,0,1,76.1,41.2,68.8
371,ai,senior,1,1,71.5,35.2,73.1
372,ai,junior,1,0,70.7,33.5,64.7
373,ai,senior,1,1,72.3,31.2,76.9
374,ai,junior,1,0,81.8,43.4,58.2
375,ai,junior,1,0,69.3,38.6,48.2
376,ai,senior,1,1,83.5,39.5,63.9
377,control,senior,0,1,67.8,43.8,67.8
378,control,senior,0,1,78.7,41.5,74.7
379,control,junior,0,0,74.6,46.7,60.4
380,control,junior,0,0,68.1,48.2,66.9
381,ai,senior,1,1,78.7,39.9,80.7
382,ai,junior,1,0,78.2,32.1,49.7
383,ai,senior,1,1,85.8,34.3,79.1
384,ai,senior,1,1,83.9,28.2,70.9
385,ai,junior,1,0,73.6,32.3,59.4
386,ai,senior,1,1,72.4,37.8,72.5
387,control,junior,0,0,67.3,49.9,57.2
388,control,senior,0,1,82.6,39.6,68.8
389,control,junior,0,0,66.9,50.6,73.7
390,control,junior,0,0,70.3,47.6,68.0
391,ai,senior,1,1,75.7,28.9,75.2
392,control,senior,0,1,70.1,45.2,68.5
393,control,junior,0,0,67.9,43.0,74.7
394,ai,junior,1,0,65.6,36.0,51.3
395,control,senior,0,1,81.9,42.7,75.2
396,ai,junior,1,0,74.7,42.5,60.5
397,control,senior,0,1,73.2,36.9,74.7
398,control,junior,0,0,78.5,50.1,66.9
399,control,junior,0,0,76.2,40.8,61.6
400,control,junior,0,0,73.5,45.6,72.4
